epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6157.82,0.5495,5.83947,1.02901,0.2482,0.00872,0.00415,0.00296,0.66862,4.88883,1.0844,0.0033328,0.0033328,0.0033328
2,13530.6,0.37213,2.94453,0.93517,0.60941,0.08443,0.07872,0.07202,0.46445,2.65101,1.03543,0.00600618,0.00600618,0.00600618
3,20985.2,0.34572,2.09024,0.92334,0.64506,0.21138,0.24156,0.22375,0.46469,2.2416,1.03424,0.00801957,0.00801957,0.00801957
4,27607.5,0.30719,1.64624,0.914,0.58836,0.32832,0.38476,0.35784,0.46583,1.87284,1.03495,0.00703,0.00703,0.00703
5,34913.4,0.26797,1.34122,0.90541,0.59035,0.38449,0.45284,0.42199,0.45991,1.69301,1.0346,0.00604,0.00604,0.00604
6,40867.1,0.24593,1.16641,0.90077,0.5896,0.42696,0.49283,0.45997,0.45488,1.58497,1.03345,0.00505,0.00505,0.00505
7,50312.8,0.22798,1.03997,0.89685,0.59232,0.45887,0.52136,0.48676,0.4517,1.52108,1.03258,0.00406,0.00406,0.00406
8,58034.4,0.21124,0.9363,0.89353,0.59927,0.48377,0.54673,0.50982,0.45188,1.45499,1.03168,0.00307,0.00307,0.00307
9,64629.2,0.19533,0.84273,0.88989,0.6125,0.49966,0.56676,0.52712,0.45885,1.41416,1.03269,0.00208,0.00208,0.00208
10,72701.4,0.17958,0.75891,0.88666,0.62761,0.50601,0.58103,0.53881,0.46599,1.38605,1.03407,0.00109,0.00109,0.00109
