epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7780.23,0.53797,5.91317,1.02831,0.22688,0.01753,0.00299,0.00227,0.58507,4.67041,1.07159,0.0033328,0.0033328,0.0033328
2,13687.6,0.35691,3.25667,0.92941,0.62429,0.02255,0.01816,0.01545,0.52154,3.49886,1.05131,0.00600618,0.00600618,0.00600618
3,20645.7,0.33288,2.47388,0.91928,0.56607,0.0892,0.06439,0.05694,0.48371,3.01119,1.04516,0.00801957,0.00801957,0.00801957
4,26420,0.29851,1.99126,0.90901,0.52187,0.11507,0.11129,0.09937,0.49308,2.89623,1.05005,0.00703,0.00703,0.00703
5,33439,0.26181,1.62561,0.90077,0.63061,0.07582,0.13571,0.12045,0.50838,2.87096,1.05458,0.00604,0.00604,0.00604
6,39243.1,0.24076,1.39421,0.89579,0.58592,0.09208,0.15056,0.13267,0.52262,2.86326,1.05843,0.00505,0.00505,0.00505
7,8318.42,0.23445,1.42613,0.89569,0.51775,0.12465,0.16082,0.14142,0.52277,2.83317,1.06012,0.00406,0.00406,0.00406
8,15785.9,0.21711,1.23121,0.89242,0.44077,0.15746,0.16989,0.14894,0.53015,2.82519,1.06451,0.00307,0.00307,0.00307
9,23481.5,0.20003,1.07467,0.88894,0.39215,0.17969,0.17252,0.15036,0.54538,2.86343,1.07077,0.00208,0.00208,0.00208
10,31680.6,0.18356,0.9469,0.88614,0.36075,0.19623,0.17068,0.14786,0.5623,2.92041,1.07756,0.00109,0.00109,0.00109
